additionalCnt,startupTime
1,2681
2,2722
3,2871
4,3026
5,3263
6,3438
7,3726
8,3807
9,4056
10,3974
11,5027
12,5123
13,5041
14,5501
15,5661
16,6224
17,6067
18,6189
19,7947
20,6764
21,6800
22,7348
23,7621
24,7528
25,7748
26,8220
27,8131
28,8386
29,8309
